BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
7.0,12.0,17.0,8.0,12.0,4.0,0.21,6.0,2.0,4.0,1.0,24.0,1.0,0.0,2.0,4.0,51.96,5.57,1612.97,0.1,59.0,0.18,89.61,289.51,0.25,3.0,6.0,22.0,0.14,26.0,33.0,21.0,9.0,29.0,92.59,19.0,1.0
9.0,4.0,12.0,0.0,16.0,5.0,0.38,8.0,2.0,2.0,0.4,24.0,1.0,0.0,1.0,2.0,18.67,9.63,1729.78,0.06,46.0,0.1,96.1,179.72,0.2,4.0,8.0,21.0,0.33,22.0,24.0,8.0,7.0,15.0,92.31,13.0,1.0
3.0,0.0,8.0,0.0,4.0,2.0,0.2,2.0,2.0,1.0,0.5,8.0,1.0,0.0,2.0,1.0,16.23,9.56,1485.28,0.05,38.0,0.1,82.52,155.32,0.5,1.0,2.0,8.0,0.14,17.0,21.0,8.0,9.0,14.0,80.0,10.0,1.0
5.0,2.0,3.0,0.0,8.0,3.0,0.75,4.0,2.0,2.0,0.67,12.0,1.0,0.0,1.0,3.0,10.57,12.86,1747.72,0.05,32.0,0.08,97.1,135.93,0.33,2.0,4.0,11.0,0.43,15.0,17.0,7.0,12.0,7.0,75.0,4.0,1.0
3.0,2.0,6.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,8.0,1.0,0.0,2.0,2.0,10.29,11.67,1400.0,0.04,30.0,0.09,77.78,120.0,0.5,1.0,2.0,8.0,0.2,14.0,16.0,6.0,10.0,10.0,75.0,8.0,1.0
7.0,5.0,9.0,0.0,10.0,4.0,0.4,4.0,2.5,3.0,0.75,14.0,1.0,0.0,1.0,2.0,28.12,7.5,1581.81,0.07,46.0,0.13,87.88,210.91,0.25,3.0,5.0,12.0,0.33,21.0,25.0,14.0,10.0,12.0,90.0,10.0,1.0
5.0,3.0,9.0,0.0,8.0,3.0,0.27,4.0,2.0,3.0,1.0,12.0,1.0,0.0,2.0,1.0,15.51,9.75,1474.86,0.05,35.0,0.1,81.94,151.27,0.33,2.0,4.0,11.0,0.23,13.0,22.0,8.0,12.0,13.0,81.82,11.0,1.0
3.0,5.0,6.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,12.0,1.0,0.0,3.0,3.0,14.94,10.13,1531.27,0.05,37.0,0.1,85.07,151.24,0.5,1.0,2.0,12.0,0.15,18.0,19.0,8.0,9.0,13.0,66.67,9.0,1.0
5.0,3.0,5.0,0.0,8.0,3.0,0.5,4.0,2.0,1.0,0.33,13.0,1.0,0.0,1.0,0.0,13.12,11.56,1752.06,0.05,34.0,0.09,97.34,151.62,0.33,2.0,4.0,12.0,0.38,16.0,18.0,9.0,13.0,8.0,83.33,6.0,1.0
3.0,1.0,4.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,6.0,1.0,0.0,1.0,2.0,11.76,10.83,1380.58,0.04,30.0,0.09,76.7,127.44,0.5,1.0,2.0,6.0,0.29,10.0,20.0,6.0,13.0,7.0,80.0,5.0,1.0
7.0,4.0,5.0,1.0,12.0,4.0,0.67,6.0,2.0,4.0,1.0,16.0,1.0,0.0,1.0,2.0,14.41,10.83,1690.87,0.05,35.0,0.09,93.94,156.08,0.25,3.0,6.0,14.0,0.44,15.0,20.0,9.0,13.0,9.0,85.71,6.0,1.0
5.0,0.0,8.0,25.0,8.0,3.0,0.25,4.0,2.0,1.0,0.33,10.0,1.0,0.0,4.0,1.0,18.17,9.0,1471.49,0.05,40.0,0.11,81.75,163.5,0.33,2.0,4.0,9.0,0.08,16.0,24.0,8.0,9.0,39.0,89.19,12.0,1.0
3.0,2.0,5.0,2.0,4.0,2.0,0.33,2.0,2.0,1.0,0.5,9.0,1.0,0.0,1.0,0.0,20.37,9.0,1649.85,0.06,39.0,0.11,91.66,183.32,0.5,1.0,2.0,9.0,0.2,18.0,21.0,13.0,13.0,10.0,87.5,6.0,1.0
11.0,0.0,13.0,0.0,20.0,6.0,0.43,10.0,2.0,1.0,0.17,20.0,1.0,0.0,1.0,3.0,8.78,13.33,1560.0,0.04,39.0,0.08,86.67,117.0,0.17,5.0,10.0,16.0,0.38,16.0,23.0,3.0,5.0,16.0,92.86,14.0,1.0
7.0,0.0,9.0,17.0,12.0,4.0,0.36,6.0,2.0,1.0,0.25,14.0,1.0,0.0,2.0,0.0,15.85,10.0,1584.57,0.05,38.0,0.1,88.03,158.46,0.25,3.0,6.0,12.0,0.13,16.0,22.0,8.0,10.0,30.0,92.86,11.0,1.0
3.0,1.0,7.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,8.0,1.0,0.0,2.0,4.0,13.18,10.93,1573.71,0.05,36.0,0.09,87.43,144.0,0.5,1.0,2.0,8.0,0.14,17.0,19.0,7.0,9.0,14.0,77.78,9.0,1.0
