LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
11.0,11.0,1.0,14.0,5.0,20.0,6.0,0.15,10.0,2.0,2.0,0.33,26.0,1.0,0.0,27.0,1.0,48.56,33.51,54539.1,0.54,279.0,0.03,3029.95,1627.38,0.17,5.0,10.0,22.0,0.1,124.0,155.0,37.0,20.0,58.0,41.3,41.0,b'N'
32.0,13.0,13.0,16.0,23.0,24.0,7.0,0.09,12.0,2.0,7.0,1.0,38.0,1.0,0.0,59.0,9.0,104.75,22.14,51324.87,0.77,349.0,0.05,2851.38,2318.71,0.14,6.0,12.0,33.0,0.05,126.0,223.0,74.0,26.0,138.0,39.8,75.0,b'Y'
39.0,9.0,8.0,9.0,14.0,16.0,5.0,0.07,8.0,2.0,5.0,1.0,24.0,1.0,0.0,60.0,8.0,97.85,22.12,47876.6,0.72,331.0,0.05,2659.81,2164.46,0.2,4.0,8.0,21.0,0.03,114.0,217.0,67.0,26.0,146.0,27.71,69.0,b'N'
36.0,23.0,8.0,21.0,29.0,40.0,12.0,0.18,18.0,2.22,8.0,0.67,48.0,5.0,0.36,45.0,4.0,68.78,26.32,47644.35,0.6,288.0,0.04,2646.91,1810.2,0.42,11.0,20.0,38.0,0.08,94.0,194.0,50.0,28.0,143.0,52.63,66.0,b'N'
17.0,20.0,3.0,5.0,0.0,14.0,15.0,0.22,6.0,2.33,3.0,0.2,40.0,4.0,0.21,63.0,3.0,45.89,35.45,57670.7,0.54,262.0,0.03,3203.93,1626.88,0.27,4.0,7.0,27.0,0.17,79.0,183.0,39.0,35.0,86.0,7.35,68.0,b'N'
25.0,25.0,6.0,6.0,15.0,42.0,13.0,0.17,18.0,2.33,9.0,0.69,59.0,7.0,0.5,70.0,1.0,80.81,26.6,57176.91,0.72,343.0,0.04,3176.49,2149.51,0.54,12.0,23.0,48.0,0.11,133.0,210.0,55.0,22.0,117.0,23.08,76.0,b'N'
34.0,17.0,9.0,5.0,26.0,30.0,9.0,0.13,14.0,2.14,7.0,0.78,44.0,4.0,0.38,66.0,5.0,76.03,28.98,63864.99,0.73,342.0,0.03,3548.06,2203.49,0.44,8.0,15.0,37.0,0.07,136.0,206.0,61.0,26.0,132.0,31.96,71.0,b'N'
17.0,21.0,4.0,1.0,8.0,36.0,11.0,0.26,16.0,2.25,5.0,0.45,43.0,7.0,0.6,41.0,5.0,42.16,35.93,54431.16,0.5,241.0,0.03,3023.95,1514.78,0.64,10.0,18.0,34.0,0.16,98.0,143.0,45.0,33.0,68.0,18.0,42.0,b'N'
27.0,24.0,11.0,3.0,48.0,34.0,13.0,0.16,14.0,2.43,10.0,0.77,53.0,7.0,0.5,76.0,1.0,60.5,32.21,62767.66,0.65,298.0,0.03,3487.09,1948.67,0.54,10.0,19.0,42.0,0.08,102.0,196.0,57.0,36.0,155.0,40.16,79.0,b'N'
10.0,17.0,3.0,12.0,20.0,32.0,9.0,0.13,16.0,2.0,3.0,0.33,46.0,1.0,0.0,55.0,4.0,52.18,33.32,57931.89,0.58,292.0,0.03,3218.44,1738.63,0.11,8.0,16.0,39.0,0.07,113.0,179.0,39.0,23.0,138.0,36.78,67.0,b'N'
