LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,label
16.0,27.0,2.0,12.0,14.0,13.0,8.0,62.0,114.83,11.5,15185.86,0.44,212.0,0.09,843.66,1320.51,92.0,120.0,60.0,15.0,94.0,b'Y'
14.0,12.0,0.0,0.0,11.0,1.0,1.0,62.0,27.23,24.09,15801.66,0.22,125.0,0.04,877.87,655.99,39.0,86.0,17.0,21.0,79.0,b'N'
6.0,9.0,0.0,2.0,5.0,3.0,1.0,27.0,25.95,22.91,13621.99,0.2,115.0,0.04,756.78,594.54,41.0,74.0,17.0,19.0,38.0,b'N'
6.0,19.0,0.0,0.0,10.0,3.0,7.0,26.0,27.63,21.18,12391.41,0.2,116.0,0.05,688.41,585.15,45.0,71.0,17.0,16.0,37.0,b'N'
3.0,23.0,0.0,0.0,12.0,1.0,1.0,24.0,13.23,33.0,14404.99,0.15,101.0,0.03,800.28,436.51,44.0,57.0,8.0,12.0,29.0,b'N'
8.0,11.0,0.0,4.0,6.0,5.0,4.0,38.0,46.35,16.0,11864.41,0.25,147.0,0.06,659.13,741.53,56.0,91.0,21.0,12.0,53.0,b'Y'
2.0,1.0,0.0,0.0,1.0,1.0,1.0,31.0,62.09,13.79,11804.52,0.29,155.0,0.07,655.81,856.15,70.0,85.0,33.0,13.0,35.0,b'N'
2.0,17.0,1.0,8.0,9.0,2.0,8.0,14.0,24.56,22.45,12380.3,0.18,101.0,0.04,687.79,551.4,41.0,60.0,21.0,23.0,25.0,b'N'
11.0,16.0,1.0,13.0,11.0,4.0,1.0,58.0,49.25,17.86,15709.76,0.29,145.0,0.06,872.76,879.58,64.0,81.0,43.0,24.0,83.0,b'N'
5.0,17.0,0.0,5.0,9.0,3.0,6.0,35.0,27.41,23.5,15139.0,0.21,118.0,0.04,841.06,644.21,47.0,71.0,22.0,22.0,47.0,b'Y'
