LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
3.0,5.0,8.0,0.0,2.0,8.0,3.0,0.19,4.0,3.0,1.0,16.0,1.0,0.0,16.0,0.0,0.0,0.0,39.78,6.19,1522.89,0.08,53.0,0.16,84.61,246.12,0.0,2.0,4.0,15.0,0.13,22.0,31.0,16.0,9.0,23.0,11.11,16.0,b'N'
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.11,0.0,1.0,1.0,7.0,1.0,0.0,9.0,0.0,0.0,0.0,16.05,10.31,1708.46,0.06,39.0,0.1,94.91,165.67,1.0,0.0,0.0,8.0,0.09,15.0,24.0,8.0,11.0,11.0,0.0,9.0,b'N'
1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.11,0.0,1.0,1.0,3.0,1.0,0.0,9.0,0.0,1.0,1.0,46.84,5.97,1669.87,0.09,61.0,0.17,92.77,279.68,1.0,0.0,0.0,4.0,0.07,29.0,32.0,17.0,7.0,14.0,18.18,9.0,b'N'
3.0,5.0,1.0,6.0,0.0,8.0,3.0,0.19,4.0,1.0,0.0,11.0,1.0,0.0,10.0,0.0,0.0,0.0,14.41,12.0,2074.53,0.06,40.0,0.08,115.25,172.88,0.0,2.0,4.0,10.0,0.14,16.0,24.0,8.0,12.0,21.0,37.5,16.0,b'N'
4.0,5.0,5.0,0.0,4.0,8.0,3.0,0.2,4.0,3.0,1.0,18.0,1.0,0.0,15.0,0.0,3.0,1.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,0.0,2.0,4.0,17.0,0.12,24.0,31.0,18.0,9.0,25.0,21.05,15.0,b'N'
6.0,3.0,3.0,0.0,4.0,4.0,2.0,0.13,2.0,2.0,1.0,9.0,1.0,0.0,15.0,1.0,2.0,1.0,17.93,10.0,1793.07,0.06,43.0,0.1,99.61,179.31,0.0,1.0,2.0,9.0,0.07,16.0,27.0,8.0,10.0,27.0,21.05,15.0,b'N'
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.11,0.0,1.0,1.0,9.0,1.0,0.0,9.0,0.0,0.0,0.0,110.73,3.48,1339.64,0.13,81.0,0.29,74.42,385.15,1.0,0.0,0.0,10.0,0.09,40.0,41.0,23.0,4.0,11.0,0.0,9.0,b'N'
1.0,3.0,6.0,0.0,0.0,4.0,2.0,0.25,2.0,1.0,0.0,11.0,1.0,0.0,8.0,0.0,0.0,0.0,15.07,9.75,1432.72,0.05,34.0,0.1,79.6,146.95,0.0,1.0,2.0,11.0,0.18,13.0,21.0,8.0,12.0,11.0,0.0,8.0,b'N'
4.0,3.0,0.0,6.0,0.0,4.0,2.0,0.13,2.0,1.0,0.0,6.0,1.0,0.0,9.0,1.0,2.0,1.0,30.88,8.07,2009.59,0.08,53.0,0.12,111.64,249.12,0.0,1.0,2.0,6.0,0.1,22.0,31.0,15.0,11.0,21.0,40.0,15.0,b'N'
2.0,5.0,1.0,0.0,0.0,8.0,3.0,0.3,4.0,2.0,0.0,12.0,1.0,0.0,10.0,0.0,3.0,1.0,26.35,7.5,1482.41,0.07,45.0,0.13,82.36,197.65,0.0,2.0,4.0,11.0,0.21,20.0,25.0,12.0,9.0,14.0,0.0,10.0,b'N'
