LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
6.0,7.0,7.0,2.0,6.0,12.0,4.0,0.07,6.0,2.0,4.0,1.0,31.0,1.0,0.0,55.0,2.0,4.0,1.0,59.86,19.78,23415.51,0.39,224.0,0.05,1300.86,1183.93,0.25,3.0,6.0,29.0,0.06,89.0,135.0,27.0,12.0,71.0,12.7,57.0,b'N'
1.0,21.0,5.0,0.0,0.0,36.0,11.0,0.39,16.0,2.25,7.0,0.64,40.0,9.0,0.8,28.0,1.0,11.0,1.0,25.13,31.64,25154.15,0.27,155.0,0.03,1397.45,795.04,0.82,10.0,18.0,31.0,0.35,67.0,88.0,18.0,17.0,31.0,0.0,28.0,b'N'
14.0,24.0,8.0,0.0,14.0,30.0,15.0,0.25,14.0,2.14,9.0,0.6,49.0,3.0,0.14,59.0,0.0,9.0,0.6,46.74,21.17,20950.15,0.33,162.0,0.05,1163.9,989.58,0.2,8.0,15.0,36.0,0.17,62.0,100.0,41.0,28.0,89.0,19.18,59.0,b'Y'
7.0,15.0,2.0,0.0,9.0,26.0,8.0,0.27,12.0,2.17,3.0,0.38,32.0,1.0,0.0,30.0,1.0,5.0,0.63,25.01,30.0,22511.76,0.25,141.0,0.03,1250.65,750.39,0.13,7.0,13.0,26.0,0.17,60.0,81.0,20.0,20.0,48.0,23.08,30.0,b'Y'
1.0,13.0,0.0,6.0,0.0,24.0,7.0,0.3,12.0,2.0,1.0,0.14,28.0,1.0,0.0,17.0,2.0,4.0,0.57,14.31,38.64,21359.95,0.18,115.0,0.03,1186.66,552.85,0.14,6.0,12.0,23.0,0.27,50.0,65.0,11.0,17.0,26.0,26.09,23.0,b'N'
7.0,3.0,4.0,1.0,6.0,4.0,2.0,0.09,2.0,2.0,2.0,1.0,10.0,1.0,0.0,22.0,0.0,2.0,1.0,44.5,21.58,20724.8,0.32,183.0,0.05,1151.38,960.37,0.5,1.0,2.0,10.0,0.05,83.0,100.0,25.0,13.0,38.0,24.14,23.0,b'N'
6.0,15.0,1.0,0.0,2.0,26.0,8.0,0.26,12.0,2.17,2.0,0.25,32.0,3.0,0.29,31.0,2.0,4.0,0.5,33.62,28.08,26512.3,0.31,174.0,0.04,1472.91,944.17,0.38,7.0,13.0,26.0,0.2,78.0,96.0,25.0,18.0,41.0,6.06,31.0,b'N'
8.0,23.0,3.0,0.0,14.0,36.0,12.0,0.38,14.0,2.57,5.0,0.42,40.0,6.0,0.45,32.0,0.0,10.0,0.83,39.63,24.05,22915.89,0.32,168.0,0.04,1273.1,952.97,0.5,11.0,18.0,30.0,0.21,81.0,87.0,32.0,19.0,56.0,30.43,32.0,b'Y'
1.0,5.0,1.0,0.0,0.0,8.0,3.0,0.25,4.0,2.0,1.0,0.33,11.0,1.0,0.0,12.0,3.0,3.0,1.0,15.48,36.25,20339.03,0.19,118.0,0.03,1129.95,561.08,0.33,2.0,4.0,10.0,0.2,58.0,60.0,12.0,15.0,15.0,0.0,12.0,b'Y'
13.0,13.0,4.0,2.0,13.0,24.0,7.0,0.17,12.0,2.0,2.0,0.29,29.0,4.0,0.5,39.0,0.0,0.0,0.0,42.89,24.48,25705.69,0.35,187.0,0.04,1428.09,1049.95,0.57,6.0,12.0,24.0,0.1,71.0,116.0,29.0,20.0,69.0,27.78,41.0,b'N'
19.0,19.0,4.0,1.0,12.0,36.0,10.0,0.2,18.0,2.0,7.0,0.7,45.0,7.0,0.67,48.0,0.0,9.0,0.9,30.16,26.1,20545.64,0.26,150.0,0.04,1141.42,787.19,0.7,9.0,18.0,37.0,0.12,58.0,92.0,20.0,18.0,82.0,21.31,49.0,b'Y'
1.0,21.0,4.0,0.0,0.0,36.0,11.0,0.39,16.0,2.25,7.0,0.64,40.0,9.0,0.8,28.0,1.0,11.0,1.0,22.35,34.53,26650.95,0.26,153.0,0.03,1480.61,771.79,0.82,10.0,18.0,31.0,0.35,65.0,88.0,16.0,17.0,31.0,0.0,28.0,b'N'
12.0,7.0,0.0,0.0,16.0,12.0,4.0,0.1,6.0,2.0,1.0,0.25,16.0,1.0,0.0,39.0,2.0,4.0,1.0,18.17,33.73,20674.45,0.2,132.0,0.03,1148.58,612.99,0.25,3.0,6.0,14.0,0.06,53.0,79.0,11.0,14.0,69.0,29.09,39.0,b'N'
1.0,19.0,1.0,0.0,0.0,36.0,10.0,0.36,18.0,2.0,4.0,0.4,41.0,1.0,0.0,28.0,2.0,4.0,0.4,14.36,37.09,19752.67,0.18,112.0,0.03,1097.37,532.55,0.1,9.0,18.0,33.0,0.32,51.0,61.0,11.0,16.0,31.0,0.0,28.0,b'N'
6.0,7.0,7.0,2.0,6.0,12.0,4.0,0.07,6.0,2.0,4.0,1.0,31.0,1.0,0.0,55.0,2.0,4.0,1.0,59.86,19.78,23415.51,0.39,224.0,0.05,1300.86,1183.93,0.25,3.0,6.0,29.0,0.06,89.0,135.0,27.0,12.0,71.0,12.7,57.0,b'N'
1.0,21.0,5.0,0.0,0.0,36.0,11.0,0.39,16.0,2.25,7.0,0.64,40.0,9.0,0.8,28.0,1.0,11.0,1.0,25.13,31.64,25154.15,0.27,155.0,0.03,1397.45,795.04,0.82,10.0,18.0,31.0,0.35,67.0,88.0,18.0,17.0,31.0,0.0,28.0,b'N'
14.0,24.0,8.0,0.0,14.0,30.0,15.0,0.25,14.0,2.14,9.0,0.6,49.0,3.0,0.14,59.0,0.0,9.0,0.6,46.74,21.17,20950.15,0.33,162.0,0.05,1163.9,989.58,0.2,8.0,15.0,36.0,0.17,62.0,100.0,41.0,28.0,89.0,19.18,59.0,b'Y'
7.0,15.0,2.0,0.0,9.0,26.0,8.0,0.27,12.0,2.17,3.0,0.38,32.0,1.0,0.0,30.0,1.0,5.0,0.63,25.01,30.0,22511.76,0.25,141.0,0.03,1250.65,750.39,0.13,7.0,13.0,26.0,0.17,60.0,81.0,20.0,20.0,48.0,23.08,30.0,b'Y'
1.0,13.0,0.0,6.0,0.0,24.0,7.0,0.3,12.0,2.0,1.0,0.14,28.0,1.0,0.0,17.0,2.0,4.0,0.57,14.31,38.64,21359.95,0.18,115.0,0.03,1186.66,552.85,0.14,6.0,12.0,23.0,0.27,50.0,65.0,11.0,17.0,26.0,26.09,23.0,b'N'
7.0,3.0,4.0,1.0,6.0,4.0,2.0,0.09,2.0,2.0,2.0,1.0,10.0,1.0,0.0,22.0,0.0,2.0,1.0,44.5,21.58,20724.8,0.32,183.0,0.05,1151.38,960.37,0.5,1.0,2.0,10.0,0.05,83.0,100.0,25.0,13.0,38.0,24.14,23.0,b'N'
