LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
3.0,5.0,3.0,0.0,15.0,8.0,3.0,0.19,4.0,2.0,2.0,0.67,13.0,1.0,0.0,16.0,2.0,20.14,12.83,3317.73,0.09,55.0,0.08,184.32,258.51,0.33,2.0,4.0,12.0,0.09,22.0,33.0,12.0,14.0,35.0,48.39,16.0,b'Y'
9.0,5.0,7.0,0.0,6.0,8.0,3.0,0.18,4.0,2.0,3.0,1.0,16.0,1.0,0.0,17.0,2.0,38.07,9.14,3182.29,0.12,69.0,0.11,176.79,348.06,0.33,2.0,4.0,15.0,0.09,32.0,37.0,21.0,12.0,33.0,26.09,17.0,b'N'
1.0,3.0,2.0,16.0,0.0,4.0,2.0,0.08,2.0,2.0,2.0,1.0,21.0,1.0,0.0,9.0,0.0,95.59,5.98,3422.92,0.19,109.0,0.17,190.16,572.02,0.5,1.0,2.0,21.0,0.07,53.0,56.0,31.0,7.0,27.0,64.0,25.0,b'N'
3.0,7.0,2.0,0.0,6.0,8.0,4.0,0.33,2.0,4.0,2.0,0.5,13.0,4.0,1.0,12.0,0.0,24.24,11.7,3318.52,0.09,59.0,0.09,184.36,283.63,1.0,3.0,4.0,11.0,0.18,27.0,32.0,15.0,13.0,22.0,33.33,12.0,b'N'
1.0,7.0,0.0,0.0,0.0,12.0,4.0,0.33,6.0,2.0,1.0,0.25,16.0,1.0,0.0,12.0,1.0,14.65,16.36,3922.73,0.08,51.0,0.06,217.93,239.72,0.25,3.0,6.0,14.0,0.29,24.0,27.0,11.0,15.0,14.0,0.0,12.0,b'N'
1.0,5.0,1.0,0.0,1.0,8.0,3.0,0.25,4.0,2.0,1.0,0.33,12.0,1.0,0.0,12.0,0.0,16.29,15.11,3719.21,0.08,53.0,0.07,206.62,246.12,0.33,2.0,4.0,11.0,0.2,17.0,36.0,9.0,16.0,15.0,7.69,12.0,b'N'
4.0,13.0,4.0,0.0,1.0,22.0,7.0,0.28,10.0,2.2,6.0,0.86,32.0,4.0,0.0,25.0,0.0,35.89,10.4,3882.17,0.12,74.0,0.1,215.68,373.29,0.57,6.0,11.0,27.0,0.23,32.0,42.0,20.0,13.0,31.0,3.85,25.0,b'N'
4.0,11.0,4.0,0.0,2.0,16.0,6.0,0.3,6.0,2.67,4.0,0.67,20.0,5.0,0.0,20.0,0.0,29.7,11.28,3778.06,0.11,67.0,0.09,209.89,335.0,0.83,5.0,8.0,16.0,0.22,29.0,38.0,18.0,14.0,27.0,9.09,20.0,b'N'
2.0,5.0,1.0,0.0,4.0,8.0,3.0,0.23,4.0,2.0,2.0,0.67,11.0,1.0,0.0,13.0,3.0,11.63,17.0,3360.12,0.07,45.0,0.06,186.67,197.65,0.33,2.0,4.0,10.0,0.15,17.0,28.0,7.0,14.0,20.0,23.53,13.0,b'N'
1.0,3.0,2.0,16.0,0.0,4.0,2.0,0.08,2.0,2.0,2.0,1.0,21.0,1.0,0.0,9.0,0.0,103.2,5.62,3260.81,0.19,109.0,0.18,181.16,580.09,0.5,1.0,2.0,21.0,0.07,53.0,56.0,33.0,7.0,27.0,64.0,25.0,b'N'
