LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
4.0,1.0,3.0,0.0,6.0,0.0,1.0,0.14,0.0,0.0,1.0,1.0,5.0,1.0,0.0,7.0,0.0,24.22,5.0,605.57,0.04,31.0,0.2,33.64,121.11,1.0,0.0,0.0,6.0,0.05,15.0,16.0,9.0,6.0,19.0,46.15,7.0,b'N'
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,10.0,0.0,20.25,7.2,1049.88,0.05,46.0,0.14,58.33,145.82,1.0,0.0,0.0,2.0,0.08,18.0,28.0,5.0,4.0,12.0,0.0,10.0,b'N'
0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,15.03,6.4,615.75,0.03,26.0,0.16,34.21,96.21,1.0,0.0,0.0,4.0,0.14,8.0,18.0,5.0,8.0,7.0,20.0,4.0,b'N'
11.0,3.0,0.0,0.0,15.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,5.0,1.0,0.0,5.0,1.0,15.23,6.0,548.26,0.03,24.0,0.17,30.46,91.38,0.5,1.0,2.0,5.0,0.06,9.0,15.0,6.0,8.0,32.0,75.0,5.0,b'N'
3.0,5.0,3.0,0.0,1.0,8.0,3.0,0.25,4.0,2.0,3.0,1.0,12.0,1.0,0.0,12.0,0.0,26.42,6.77,1210.43,0.06,39.0,0.15,67.25,178.81,0.33,2.0,4.0,11.0,0.17,16.0,23.0,13.0,11.0,18.0,7.69,12.0,b'N'
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.2,2.0,2.0,2.0,1.0,6.0,1.0,0.0,10.0,1.0,16.8,6.43,694.29,0.04,27.0,0.16,38.57,108.0,0.5,1.0,2.0,6.0,0.17,10.0,17.0,7.0,9.0,12.0,0.0,10.0,b'N'
3.0,3.0,0.0,2.0,0.0,4.0,2.0,0.25,2.0,2.0,1.0,0.5,6.0,1.0,0.0,6.0,0.0,10.38,9.9,1017.71,0.03,27.0,0.1,56.54,102.8,0.5,1.0,2.0,6.0,0.15,11.0,16.0,5.0,9.0,13.0,25.0,8.0,b'Y'
1.0,3.0,1.0,0.0,0.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,5.0,1.0,0.0,4.0,1.0,8.65,8.0,553.51,0.02,20.0,0.13,30.75,69.19,0.5,1.0,2.0,5.0,0.29,6.0,14.0,3.0,8.0,7.0,0.0,4.0,b'N'
1.0,3.0,1.0,0.0,0.0,4.0,2.0,0.29,2.0,2.0,2.0,1.0,5.0,1.0,0.0,7.0,1.0,20.79,7.5,1169.17,0.05,34.0,0.13,64.95,155.89,0.5,1.0,2.0,5.0,0.2,15.0,19.0,12.0,12.0,10.0,0.0,7.0,b'N'
0.0,5.0,1.0,1.0,2.0,8.0,3.0,0.3,4.0,2.0,2.0,0.67,9.0,1.0,0.0,9.0,3.0,18.87,7.8,1147.86,0.05,33.0,0.13,63.77,147.16,0.33,2.0,4.0,8.0,0.21,13.0,20.0,10.0,12.0,14.0,25.0,10.0,b'N'
8.0,3.0,4.0,0.0,3.0,4.0,2.0,0.2,2.0,2.0,2.0,1.0,8.0,1.0,0.0,10.0,4.0,40.24,4.43,790.81,0.06,40.0,0.23,43.93,178.38,0.5,1.0,2.0,8.0,0.08,19.0,21.0,15.0,7.0,26.0,23.08,10.0,b'N'
3.0,3.0,1.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,1.0,0.5,6.0,1.0,0.0,6.0,0.0,13.31,6.75,606.54,0.03,23.0,0.15,33.7,89.86,0.5,1.0,2.0,6.0,0.18,9.0,14.0,6.0,9.0,11.0,0.0,6.0,b'N'
5.0,5.0,3.0,0.0,0.0,0.0,3.0,0.3,0.0,0.0,3.0,1.0,13.0,1.0,0.0,10.0,0.0,18.13,7.5,1020.0,0.05,34.0,0.13,56.67,136.0,0.33,0.0,0.0,12.0,0.18,15.0,19.0,8.0,8.0,17.0,0.0,10.0,b'N'
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,7.0,1.0,0.0,9.0,0.0,11.16,10.5,1230.67,0.04,30.0,0.1,68.37,117.21,0.5,1.0,2.0,7.0,0.18,14.0,16.0,6.0,9.0,11.0,0.0,9.0,b'N'
