LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
31.0,31.0,5.0,2.0,27.0,50.0,16.0,0.1,20.0,9.0,0.56,87.0,7.0,0.4,152.0,0.0,6.0,0.38,63.24,50.52,161387.41,1.06,569.0,0.02,8965.97,3194.77,0.44,15.0,25.0,73.0,0.07,174.0,395.0,31.0,18.0,214.0,16.02,154.0,b'Y'
15.0,47.0,9.0,13.0,45.0,88.0,24.0,0.21,36.0,12.0,0.5,91.0,11.0,0.43,101.0,0.0,14.0,0.58,61.68,55.25,188272.55,1.14,536.0,0.02,10459.59,3407.65,0.46,26.0,44.0,69.0,0.14,238.0,298.0,56.0,26.0,176.0,36.48,114.0,b'Y'
11.0,72.0,1.0,9.0,14.0,126.0,39.0,0.25,62.0,3.0,0.08,137.0,3.0,0.05,145.0,0.0,39.0,1.0,37.02,63.15,147591.36,0.78,399.0,0.02,8199.52,2337.33,0.08,32.0,63.0,100.0,0.21,145.0,254.0,31.0,27.0,188.0,13.69,154.0,b'Y'
0.0,28.0,4.0,0.0,4.0,8.0,25.0,0.19,4.0,25.0,1.0,58.0,1.0,0.0,134.0,0.0,25.0,1.0,48.93,61.81,186927.79,1.01,467.0,0.02,10384.88,3024.17,0.04,2.0,4.0,35.0,0.18,182.0,285.0,53.0,36.0,140.0,2.9,134.0,b'N'
31.0,39.0,8.0,6.0,58.0,68.0,20.0,0.11,30.0,11.0,0.55,88.0,5.0,0.21,173.0,0.0,11.0,0.55,94.58,43.08,175516.18,1.36,634.0,0.02,9750.9,4074.25,0.25,19.0,34.0,70.0,0.07,236.0,398.0,63.0,23.0,270.0,27.0,179.0,b'Y'
57.0,5.0,8.0,1.0,59.0,8.0,3.0,0.01,4.0,3.0,1.0,63.0,1.0,0.0,263.0,0.0,3.0,1.0,246.14,28.65,202038.95,2.35,1081.0,0.03,11224.39,7051.97,0.33,2.0,4.0,62.0,0.01,382.0,699.0,80.0,12.0,382.0,18.58,264.0,b'N'
14.0,89.0,1.0,1.0,11.0,116.0,45.0,0.39,28.0,2.0,0.04,118.0,44.0,0.98,115.0,0.0,0.0,0.0,28.33,74.12,155603.31,0.7,403.0,0.01,8644.63,2099.41,0.98,44.0,73.0,75.0,0.31,126.0,277.0,17.0,20.0,143.0,9.45,116.0,b'Y'
26.0,5.0,3.0,0.0,31.0,8.0,3.0,0.02,4.0,1.0,0.33,34.0,1.0,0.0,155.0,0.0,3.0,1.0,46.1,64.68,192811.5,0.99,591.0,0.02,10711.75,2981.24,0.33,2.0,4.0,33.0,0.01,199.0,392.0,20.0,13.0,214.0,16.67,155.0,b'Y'
25.0,85.0,33.0,7.0,76.0,120.0,43.0,0.25,36.0,30.0,0.7,200.0,28.0,0.64,166.0,0.0,13.0,0.3,117.38,36.44,155844.09,1.43,641.0,0.03,8658.0,4277.02,0.65,42.0,77.0,159.0,0.16,265.0,376.0,80.0,22.0,276.0,33.33,173.0,b'Y'
8.0,33.0,13.0,15.0,21.0,58.0,17.0,0.2,26.0,12.0,0.71,93.0,6.0,0.31,69.0,0.0,14.0,0.82,51.75,55.4,158856.26,0.96,471.0,0.02,8825.35,2867.19,0.35,16.0,29.0,78.0,0.15,179.0,292.0,42.0,26.0,117.0,34.29,84.0,b'Y'
