LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
7.0,7.0,2.0,1.0,0.0,12.0,4.0,0.13,6.0,2.0,3.0,0.75,16.0,1.0,0.0,30.0,2.0,29.83,40.13,48033.42,0.4,222.0,0.02,2668.52,1197.09,0.25,3.0,6.0,14.0,0.1,107.0,115.0,24.0,18.0,39.0,3.23,31.0,1.0
27.0,25.0,20.0,0.0,0.0,4.0,23.0,0.29,2.0,2.0,22.0,0.96,51.0,1.0,0.0,79.0,1.0,54.19,28.96,45461.48,0.52,243.0,0.03,2525.64,1569.64,0.04,1.0,2.0,30.0,0.21,92.0,151.0,54.0,34.0,107.0,0.0,79.0,1.0
5.0,49.0,0.0,0.0,0.0,56.0,25.0,0.48,16.0,3.5,1.0,0.04,65.0,25.0,1.0,52.0,4.0,31.64,38.62,47183.65,0.41,249.0,0.03,2621.31,1221.82,1.0,20.0,28.0,42.0,0.43,101.0,148.0,17.0,13.0,58.0,0.0,52.0,1.0
14.0,3.0,2.0,0.0,12.0,4.0,2.0,0.05,2.0,2.0,2.0,1.0,14.0,1.0,0.0,41.0,0.0,75.92,28.31,60857.94,0.72,343.0,0.04,3381.0,2149.51,0.5,1.0,2.0,14.0,0.03,151.0,192.0,56.0,21.0,68.0,22.64,41.0,1.0
31.0,16.0,10.0,0.0,10.0,12.0,11.0,0.17,4.0,3.0,6.0,0.55,45.0,5.0,0.4,63.0,0.0,50.49,33.53,56756.57,0.56,267.0,0.03,3153.14,1692.74,0.45,4.0,7.0,36.0,0.1,114.0,153.0,51.0,30.0,105.0,13.7,63.0,1.0
27.0,39.0,7.0,2.0,35.0,62.0,20.0,0.22,24.0,2.58,10.0,0.5,66.0,12.0,0.58,87.0,2.0,92.24,23.83,52396.16,0.73,337.0,0.04,2910.9,2198.44,0.6,19.0,33.0,48.0,0.13,143.0,194.0,69.0,23.0,152.0,29.84,89.0,1.0
13.0,26.0,4.0,1.0,1.0,44.0,14.0,0.3,22.0,2.0,11.0,0.79,59.0,7.0,0.46,45.0,0.0,30.87,42.62,56084.29,0.44,221.0,0.02,3115.79,1315.88,0.5,11.0,22.0,47.0,0.23,97.0,124.0,33.0,29.0,61.0,4.26,46.0,1.0
1.0,35.0,6.0,0.0,0.0,52.0,18.0,0.69,18.0,2.89,6.0,0.33,58.0,13.0,0.71,26.0,0.0,37.29,35.81,47834.26,0.45,228.0,0.03,2657.46,1335.62,0.72,17.0,26.0,42.0,0.64,109.0,119.0,35.0,23.0,28.0,0.0,26.0,1.0
19.0,17.0,8.0,0.0,7.0,32.0,9.0,0.22,16.0,2.0,8.0,0.89,40.0,3.0,0.25,41.0,1.0,69.56,26.36,48322.11,0.61,290.0,0.04,2684.56,1833.36,0.33,8.0,16.0,33.0,0.13,123.0,167.0,56.0,24.0,68.0,14.58,41.0,1.0
7.0,31.0,5.0,7.0,12.0,56.0,16.0,0.46,26.0,2.15,6.0,0.38,69.0,11.0,0.67,28.0,0.0,34.15,38.26,50005.31,0.44,217.0,0.03,2778.07,1306.85,0.69,15.0,28.0,55.0,0.29,95.0,122.0,36.0,29.0,55.0,40.43,35.0,1.0
